technology,airbending,source,DataManager@27.03.2019 13:31:43
@data
material,sheetThicknessMM,punchRadiusMM,dieWidthMM,angleDEG,bendDeductionTanMM,bendDeductionEdgeMM,radiusMM
St37,0.7,0.2,4,170.06,-0.069,0,7.6
St37,0.7,0.3,4,30,-7.73,-0.215,0.5
St37,0.7,0.3,4,30.19,-7.691,-0.22,0.5
St37,0.7,0.3,4,32.22,-7.147,-0.239,0.5
St37,0.7,0.3,4,35.35,-6.252,-0.288,0.5
St37,0.7,0.3,4,38.88,-5.433,-0.342,0.5
St37,0.7,0.3,4,42.85,-4.693,-0.402,0.5
St37,0.7,0.3,4,45,-4.404,-0.433,0.5
St37,0.7,0.3,4,47.18,-4.058,-0.466,0.5
St37,0.7,0.3,4,52.01,-3.503,-0.536,0.5
St37,0.7,0.3,4,56.92,-3.055,-0.608,0.5
St37,0.7,0.3,4,60,-2.758,-0.655,0.5
St37,0.7,0.3,4,62.42,-2.658,-0.692,0.6
St37,0.7,0.3,4,69.38,-2.211,-0.807,0.6
St37,0.7,0.3,4,75,-1.911,-0.911,0.6
St37,0.7,0.3,4,77.82,-1.783,-0.967,0.6
St37,0.7,0.3,4,82.63,-1.588,-1.078,0.7
St37,0.7,0.3,4,90,-1.376,-1.376,0.7
St37,0.7,0.3,4,92.54,-1.25,0,0.7
St37,0.7,0.3,4,100.34,-1.037,0,0.8
